Locality,FIPS,Year,DeathCount,DeathRate,Theme1,Theme2,Theme3,Theme4,Themes,PctDisabled,PctUnemployed,PctUninsured,PctMinority,PctPov150
Gloucester County,51073,2016,9,24.18444671,0.1439,0.2121,0.0985,0.0606,0.0606,14.9,4.2,10.7,14.8,7.6
Goochland County,51075,2016,1,4.411505206,0.0833,0.0758,0.4167,0.1439,0.0682,12.3,5.1,5.6,22.5,5
Grayson County,51077,2016,1,6.619447938,0.8258,0.697,0.197,0.4697,0.6515,18.2,7.1,11.4,6.5,19.8
Greene County,51079,2016,0,0,0.5303,0.5303,0.5303,0.2348,0.4394,14.2,7.8,15.6,15.5,11
Greensville County,51081,2016,0,0,0.8561,0.3561,0.697,0.9621,0.9167,19.2,6.6,10.8,62.6,17.8
Halifax County,51083,2016,2,5.715592135,0.7273,0.8939,0.5985,0.7197,0.8485,17.9,5.4,14.1,40.1,18.8
Hampton City,51650,2016,26,19.20094528,0.5455,0.6515,0.8182,0.8485,0.7727,13.4,8.9,11.7,60.3,15.6
Hanover County,51085,2016,9,8.621350295,0.0303,0.1439,0.3712,0.0682,0.0379,9.6,3.8,5.7,15.3,6.2
Harrisonburg City,51660,2016,5,9.420098723,0.7576,0.053,0.8636,0.9848,0.7879,6.8,5.9,14.4,31.7,33.1
Henrico County,51087,2016,45,13.7824999,0.2273,0.4242,0.9242,0.3182,0.3864,10.6,6.3,9.9,45.1,10.6
Henry County,51089,2016,5,9.719117504,0.9318,0.9167,0.6439,0.7045,0.9318,19.5,9.4,12.5,29.6,19
Highland County,51091,2016,0,0,0.2879,0.3712,0,0.2121,0.1212,18.7,1.3,15.1,0.4,12.6
Hopewell City,51670,2016,8,35.18803607,0.8636,0.9621,0.8258,0.7652,0.9621,19.6,10.8,10.9,50.1,20.5
Isle of Wight County,51093,2016,6,16.39523445,0.4091,0.25,0.3864,0.2803,0.2879,11.5,8.1,7.4,29.1,10.9
James City County,51095,2016,4,5.376055051,0.0606,0.4621,0.5606,0.1667,0.1288,11.7,4.9,7.6,23.6,7.9
King and Queen County,51097,2016,1,13.96843135,0.4773,0.1288,0.6288,0.197,0.3409,12.3,6,12.9,34,14.2
King George County,51099,2016,5,19.24261084,0.1591,0.1818,0.3636,0.053,0.0758,11.3,6.5,7.6,26.2,5.6
King William County,51101,2016,5,30.61099547,0.2576,0.1894,0.4773,0.0152,0.0833,9.8,3.9,8.2,23.7,12.1
Lancaster County,51103,2016,1,9.11410864,0.25,0.2424,0.3106,0.1818,0.1591,16.2,5.4,12,31.3,10
Lee County,51105,2016,2,8.27164068,1,0.5682,0.1364,0.8333,0.8409,25.3,12.3,15.9,7.1,26.1
Lexington City,51678,2016,1,14.19446416,0.6288,0.0303,0.447,0.6212,0.3333,12.6,3.9,7.4,19.5,18.4
Loudoun County,51107,2016,29,7.514024019,0.0076,0.1061,0.9318,0.1212,0.0909,5.5,3.9,7.5,41.4,4
Louisa County,51109,2016,3,8.514019753,0.5606,0.5455,0.5,0.3333,0.4697,15.7,8.1,14.5,22.5,12
Lunenburg County,51111,2016,0,0,0.8409,0.8106,0.7121,0.9242,0.9394,20.6,6.2,16.2,40.1,20.6
Lynchburg City,51680,2016,5,6.233481275,0.6818,0.2045,0.7045,0.8864,0.7576,12.6,7.2,11.5,37,24.3
Madison County,51113,2016,0,0,0.3333,0.5833,0.3106,0.4242,0.3712,12.9,5.3,15.4,14.8,11.7
Manassas City,51683,2016,7,16.87438228,0.3939,0.1742,0.9924,0.5303,0.5833,7.4,6,18.8,56.5,8.7
Manassas Park City,51685,2016,1,6.283380459,0.2955,0.3333,1,0.4015,0.5303,7.6,4.6,22.3,62.5,8.7
Martinsville City,51690,2016,0,0,0.947,0.9924,0.7576,0.5985,0.9545,19.9,10,16.7,53.4,24.1
Mathews County,51115,2016,0,0,0.0909,0.2955,0.1212,0.0227,0.0303,14.5,2,8.4,14,9.6
Mecklenburg County,51117,2016,4,12.94833614,0.697,0.8258,0.4621,0.6439,0.75,20.3,6.1,13,39.9,17.8
Middlesex County,51119,2016,1,9.278159213,0.2727,0.3409,0.2424,0.4545,0.2348,16.9,5.3,9.8,22.4,10.9
Montgomery County,51121,2016,10,10.14178211,0.3864,0.0076,0.4545,0.8409,0.303,9.7,4.6,6.9,15.8,24
Nelson County,51125,2016,4,26.90160737,0.2803,0.8788,0.25,0.553,0.4167,14.3,3.8,12.1,18.3,14.6
New Kent County,51127,2016,1,4.72880314,0.0682,0.0833,0.1742,0.1061,0.0227,10.5,4.9,6.3,20.1,5
Newport News City,51700,2016,36,19.79925753,0.5833,0.6742,0.9394,0.9167,0.8561,13.2,8.3,12.4,55.3,16.1
Norfolk City,51710,2016,71,28.96599555,0.6667,0.2652,0.8864,0.9697,0.8636,12.3,9.7,14.6,56.2,21
Northampton County,51131,2016,2,16.47582173,0.7955,0.8182,0.9015,0.6136,0.8788,14.3,7,16.6,45.9,21.9
Northumberland County,51133,2016,0,0,0.3258,0.1894,0.3485,0.2197,0.2045,14.9,7.6,8.6,30.1,11
Norton City,51720,2016,1,25.87991718,0.9545,0.7424,0.4697,0.7879,0.8939,17.8,13.6,10.5,13.7,26.5
Nottoway County,51135,2016,0,0,0.9621,0.7727,0.8409,0.9924,0.9697,18.1,8.3,10.9,45,21.3
Orange County,51137,2016,12,33.77142375,0.3106,0.8864,0.5833,0.5076,0.5909,14,7.7,11.2,20.6,9.2
Page County,51139,2016,3,12.68284434,0.7879,0.8636,0.0606,0.2348,0.6061,18.4,8.6,13.6,5.5,16
Patrick County,51141,2016,1,5.579423088,0.9015,0.7045,0.3939,0.4091,0.697,19.2,7.7,14.5,10,22.2
Petersburg City,51730,2016,13,40.77535914,0.9773,0.9015,0.9167,0.9318,0.9848,20.5,13.7,14.5,85,29.4
Pittsylvania County,51143,2016,1,1.621087101,0.6591,0.7197,0.5,0.4924,0.6439,17.1,6.7,10.6,25.7,15.1
Poquoson City,51735,2016,3,24.96463344,0,0.2576,0.1894,0.0076,0,10.6,3.2,3.9,7.6,4.7
Portsmouth City,51740,2016,28,29.39570823,0.7348,0.7955,0.75,0.7955,0.8864,13.5,10.9,12.5,61.1,18.2
Powhatan County,51145,2016,2,7.031607074,0.1061,0.0606,0.2197,0.0985,0.0152,10.1,4.6,8.4,16.1,5.6
Prince Edward County,51147,2016,3,12.96344309,0.75,0.1212,0.7879,1,0.8258,13.4,6.6,11.4,37.8,18
Prince George County,51149,2016,5,13.21178491,0.4697,0.4318,0.6894,0.5455,0.5682,14,9.4,9,44,9.6
Prince William County,51153,2016,49,10.76426265,0.1742,0.2348,0.9773,0.3864,0.3561,7.2,5.4,12.5,54.5,7
Pulaski County,51155,2016,8,23.38976113,0.553,0.6061,0.1818,0.5909,0.5076,17.3,6.7,9.6,8.9,13.5
Radford City,51750,2016,2,11.43968426,0.8182,0.0455,0.2576,0.75,0.5379,12.9,9.2,9.1,17,39.3
Rappahannock County,51157,2016,0,0,0.1515,0.1364,0.4091,0,0.0076,12.2,2.4,15.5,10.6,9.2
Richmond City,51159,2016,79,35.39902317,0.7197,0.1591,0.803,0.8561,0.7803,14.2,6.3,11.2,38.6,16.7
Richmond County,51760,2016,0,0,0.7045,0.2803,0.9848,0.9091,0.8712,15.5,9.1,15.7,60.2,25.4
Roanoke City,51161,2016,10,10.03411599,0.1288,0.3939,0.4394,0.3485,0.197,11.7,4.8,6.6,13.1,8
Roanoke County,51770,2016,14,14.88870692,0.6894,0.8636,0.8712,0.7424,0.9091,17.3,7.4,15,39.9,22.2
Rockbridge County,51163,2016,1,4.465880672,0.3182,0.3182,0.1136,0.1136,0.1515,15.3,4.8,11.6,6.8,14.7
Rockingham County,51165,2016,2,2.508025682,0.4545,0.3636,0.5455,0.5833,0.4773,13.2,5.2,11.7,10.1,11.6
Russell County,51167,2016,6,21.9218122,0.7727,0.4394,0.053,0.4394,0.5152,23.1,6.6,12.8,3.2,17
Salem City,51775,2016,4,15.65619007,0.2273,0.5152,0.4242,0.8258,0.447,13.3,5,9.1,14.3,9.4
Scott County,51169,2016,3,13.67989056,0.8485,0.5758,0.0682,0.803,0.7273,23,7.8,11.5,3.1,20.1
Shenandoah County,51171,2016,5,11.58077591,0.3409,0.6818,0.553,0.4773,0.4924,14.7,5.5,10.9,11.1,10.6
Smyth County,51173,2016,3,9.658103149,0.7121,0.8561,0.2121,0.6742,0.7121,20.9,7.3,11.2,5.6,17.7
Southampton County,51175,2016,2,11.07603699,0.5909,0.7879,0.3788,0.7121,0.6591,16.3,5.8,12.4,39.6,14.7
Spotsylvania County,51177,2016,27,20.45299599,0.2045,0.4015,0.7197,0.2045,0.25,11.2,5.6,10.2,29.9,8.5
Stafford County,51179,2016,21,14.54686515,0.053,0.3106,0.7652,0.1515,0.1667,8.6,4.9,7.8,35.3,5.1
Staunton City,51790,2016,3,12.31375446,0.3712,0.6667,0.4015,0.6061,0.5,16.2,5,11.9,18.3,15.8
Suffolk City,51800,2016,6,6.720957064,0.4015,0.6894,0.6667,0.3106,0.4848,11.5,7.3,9.1,50,11.5
Surry County,51181,2016,0,0,0.6212,0.4091,0.4318,0.447,0.5227,14.6,8.2,13.2,48.1,11.9
Sussex County,51183,2016,2,17.3852573,0.8864,0.6136,0.8409,0.7273,0.9015,19.4,6.6,8.4,61.7,18.5
Tazewell County,51185,2016,6,14.23487544,0.803,0.4167,0.0833,0.6894,0.6364,23.8,8.3,12.7,5.9,17.8
Virginia Beach City,51810,2016,72,15.90801631,0.1667,0.3864,0.7348,0.2955,0.2576,10.3,5.8,9.4,37.1,8.2
Warren County,51187,2016,9,22.98557017,0.3636,0.6364,0.3333,0.3258,0.3485,13.9,6.5,11.3,12,10.4
Washington County,51191,2016,2,3.689084,0.5379,0.5,0.0379,0.4545,0.3636,18,6.4,10.9,4.5,14.3
Waynesboro City,51820,2016,0,0,0.5,0.9242,0.6212,0.6364,0.7197,14.8,5.1,15.6,22.6,16
Westmoreland County,51193,2016,8,45.47521601,0.4167,0.5,0.6742,0.0303,0.2727,16.8,6.6,12.4,36.3,11.1
Williamsburg City,51830,2016,2,13.14578678,0.6136,0.0227,0.6136,0.9394,0.553,9.1,9.1,5.2,31.3,22.8
Winchester City,51840,2016,9,32.70824248,0.4621,0.7121,0.8409,0.9015,0.7652,14.1,5.1,16.5,32.4,14.6
Wise County,51195,2016,9,22.94279596,0.9697,0.7652,0.1667,0.7803,0.8182,24.9,10.4,12.5,8.1,21.2
Wythe County,51197,2016,6,20.67824648,0.6742,0.6591,0.0758,0.4848,0.5455,18.5,7.5,13.1,5.9,16.2
York County,51199,2016,8,11.7688596,0.1364,0.303,0.6515,0.0758,0.1439,10.6,6.1,6,27.5,6.2
Accomack County,51001,2018,4,12.34110823,0.7121,0.7576,0.9015,0.7727,0.8788,13.3,4.2,16.8,39.9,19.9
Albemarle County,51003,2018,4,3.679243548,0.0985,0.0985,0.6742,0.6818,0.2197,9,2.9,7.3,23.1,9.8
Alexandria City,51510,2018,9,5.606428705,0.0909,0.0227,0.9621,0.7576,0.25,7,3.3,12.4,48.2,10.6
